,Clients,Accuracy,Std,Corr
0,2.0,0.99,0.0,0.0
1,2.0,0.9883333333333333,0.0,10.0
2,2.0,0.9553333333333333,0.000666666666666682,15.0
3,3.0,0.9666666666666666,0.0029814239699997268,0.0
4,3.0,0.9483333333333335,1.1102230246251565e-16,10.0
5,3.0,0.9789999999999999,0.0013333333333333142,15.0
6,4.0,0.9593333333333334,0.0008164965809276905,0.0
7,4.0,0.9480000000000001,0.000666666666666682,10.0
8,4.0,0.9583333333333334,0.0,15.0
9,5.0,0.95,0.0,0.0
10,5.0,0.97,0.0,10.0
11,5.0,0.943333333333333,0.0,15.0
