,Clients,Accuracy,Std,Corr
0,2.0,0.96,0.0,0.0
1,2.0,0.9800000000000001,1.1102230246251565e-16,10.0
2,2.0,0.9566666666666667,0.0,15.0
3,3.0,0.9399999999999998,1.1102230246251565e-16,0.0
4,3.0,0.9433333333333334,0.0,10.0
5,3.0,0.97,0.0,15.0
6,4.0,0.945,0.0,0.0
7,4.0,0.9383333333333332,1.1102230246251565e-16,10.0
8,4.0,0.9516666666666665,1.1102230246251565e-16,15.0
9,5.0,0.93,1.1102230246251565e-16,0.0
10,5.0,0.97,0.0,10.0
11,5.0,0.9385555,0.0,15.0
